VIDEO_ID,ID,JULIAN_DATE,DECIMAL_TIME,LATITUDE,LONGITUDE,TEMPERATURE,WEATHER,GROUP_SIZE,BAIT_PRESENCE,GENERALIZED_ENVIRONMENT,SENTINEL_PRESENCE,DISTURBANCE_FREQUENCY,BEHAVIOR,DURATION
20,020-01-01,20227825,6.333333333,43.18262,-79.245815,18,Sunny,SMALL,NO,Green Area,NO,0,HD,2.385
20,020-01-01,20227825,6.333333333,43.18262,-79.245815,18,Sunny,SMALL,NO,Green Area,NO,0,HD,2.507
20,020-01-01,20227825,6.333333333,43.18262,-79.245815,18,Sunny,SMALL,NO,Green Area,NO,0,HD,3.507
20,020-01-01,20227825,6.333333333,43.18262,-79.245815,18,Sunny,SMALL,NO,Green Area,NO,0,HD,1.75
20,020-01-01,20227825,6.333333333,43.18262,-79.245815,18,Sunny,SMALL,NO,Green Area,NO,0,HD,10.499
20,020-01-01,20227825,6.333333333,43.18262,-79.245815,18,Sunny,SMALL,NO,Green Area,NO,0,HD,3.017
20,020-01-01,20227825,6.333333333,43.18262,-79.245815,18,Sunny,SMALL,NO,Green Area,NO,0,HD,1.746
20,020-01-01,20227825,6.333333333,43.18262,-79.245815,18,Sunny,SMALL,NO,Green Area,NO,0,HD,2.489
20,020-01-01,20227825,6.333333333,43.18262,-79.245815,18,Sunny,SMALL,NO,Green Area,NO,0,HD,3.092
20,020-01-01,20227825,6.333333333,43.18262,-79.245815,18,Sunny,SMALL,NO,Green Area,NO,0,HD,4.265
20,020-01-01,20227825,6.333333333,43.18262,-79.245815,18,Sunny,SMALL,NO,Green Area,NO,0,HD,2.255
20,020-01-01,20227825,6.333333333,43.18262,-79.245815,18,Sunny,SMALL,NO,Green Area,NO,0,HD,1.003
20,020-01-01,20227825,6.333333333,43.18262,-79.245815,18,Sunny,SMALL,NO,Green Area,NO,0,HD,0.748
20,020-01-01,20227825,6.333333333,43.18262,-79.245815,18,Sunny,SMALL,NO,Green Area,NO,0,HD,0.501
20,020-01-01,20227825,6.333333333,43.18262,-79.245815,18,Sunny,SMALL,NO,Green Area,NO,0,HU,2.747
20,020-01-01,20227825,6.333333333,43.18262,-79.245815,18,Sunny,SMALL,NO,Green Area,NO,0,HU,10.486
20,020-01-01,20227825,6.333333333,43.18262,-79.245815,18,Sunny,SMALL,NO,Green Area,NO,0,HU,1.751
