Observation id,Comment,Start time,Stop time,Duration (s)
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,53.937,55.686,1.749
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,56.187,56.686,0.499
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,63.437,64.936,1.499
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,66.437,67.936,1.499
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,69.937,70.686,0.749
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,72.187,74.686,2.499
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,76.187,77.686,1.499
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,79.187,79.436,0.249
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,79.687,79.936,0.249
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,80.687,81.936,1.249
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,86.437,86.936,0.499
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,88.687,92.436,3.749
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,96.187,96.686,0.499
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,97.437,97.936,0.499
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,98.937,99.686,0.749
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,101.687,102.936,1.249
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,104.687,112.686,7.999
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,113.437,115.436,1.999
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,115.937,116.936,0.999
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,118.187,118.436,0.249
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,118.937,119.686,0.749
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,121.687,122.186,0.499
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,122.687,132.186,9.499
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,136.687,138.686,1.999
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,139.187,140.021,0.834
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,140.772,143.521,2.749
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,149.022,149.271,0.249
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,151.272,154.771,3.499
