Observation id,Comment,Start time,Stop time,Duration (s)
036 - FVM - 2 crows - Baited,,771.856,772.346,0.490
036 - FVM - 2 crows - Baited,,773.108,774.109,1.001
036 - FVM - 2 crows - Baited,,779.103,781.347,2.244
036 - FVM - 2 crows - Baited,,785.353,786.106,0.753
036 - FVM - 2 crows - Baited,,787.348,787.852,0.504
036 - FVM - 2 crows - Baited,,790.854,791.604,0.750
036 - FVM - 2 crows - Baited,,793.347,794.851,1.504
036 - FVM - 2 crows - Baited,,795.598,801.855,6.257
036 - FVM - 2 crows - Baited,,808.111,809.61,1.499
036 - FVM - 2 crows - Baited,,810.112,810.851,0.739
036 - FVM - 2 crows - Baited,,812.852,813.852,1.000
036 - FVM - 2 crows - Baited,,814.354,816.607,2.253
036 - FVM - 2 crows - Baited,,818.62,818.866,0.246
036 - FVM - 2 crows - Baited,,823.111,823.852,0.741
036 - FVM - 2 crows - Baited,,825.853,830.353,4.500
036 - FVM - 2 crows - Baited,,831.856,832.351,0.495
036 - FVM - 2 crows - Baited,,832.853,833.852,0.999
036 - FVM - 2 crows - Baited,,835.352,837.612,2.260
036 - FVM - 2 crows - Baited,,839.113,839.352,0.239
036 - FVM - 2 crows - Baited,,842.856,843.353,0.497
036 - FVM - 2 crows - Baited,,844.108,844.852,0.744
036 - FVM - 2 crows - Baited,,845.353,845.612,0.259
036 - FVM - 2 crows - Baited,,846.353,850.612,4.259
036 - FVM - 2 crows - Baited,,853.611,855.112,1.501
036 - FVM - 2 crows - Baited,,856.61,857.109,0.499
036 - FVM - 2 crows - Baited,,860.611,861.109,0.498
